Object Kind	X1	Y1	Orientation	Name	Show Name	Pin Designator	Show Designator	Row	Column	Index
Pin	0mil	4900mil	180 Degrees	pin	false	F49	true	F	49	298	
Pin	0mil	5000mil	180 Degrees	pin	false	F50	true	F	50	299	
Pin	0mil	100mil	180 Degrees	pin	false	G1	true	G	1	300	
Pin	0mil	200mil	180 Degrees	pin	false	G2	true	G	2	301	
Pin	0mil	300mil	180 Degrees	pin	false	G3	true	G	3	302	
Pin	0mil	400mil	180 Degrees	pin	false	G4	true	G	4	303	
Pin	0mil	500mil	180 Degrees	pin	false	G5	true	G	5	304	
Pin	0mil	600mil	180 Degrees	pin	false	G6	true	G	6	305	
Pin	0mil	700mil	180 Degrees	pin	false	G7	true	G	7	306	
Pin	0mil	800mil	180 Degrees	pin	false	G8	true	G	8	307	
Pin	0mil	900mil	180 Degrees	pin	false	G9	true	G	9	308	
Pin	0mil	1000mil	180 Degrees	pin	false	G10	true	G	10	309	
Pin	0mil	1100mil	180 Degrees	pin	false	G11	true	G	11	310	
Pin	0mil	1200mil	180 Degrees	pin	false	G12	true	G	12	311	
Pin	0mil	1300mil	180 Degrees	pin	false	G13	true	G	13	312	
Pin	0mil	1400mil	180 Degrees	pin	false	G14	true	G	14	313	
Pin	0mil	1500mil	180 Degrees	pin	false	G15	true	G	15	314	
Pin	0mil	1600mil	180 Degrees	pin	false	G16	true	G	16	315	
Pin	0mil	1700mil	180 Degrees	pin	false	G17	true	G	17	316	
Pin	0mil	1800mil	180 Degrees	pin	false	G18	true	G	18	317	
Pin	0mil	1900mil	180 Degrees	pin	false	G19	true	G	19	318	
Pin	0mil	2000mil	180 Degrees	pin	false	G20	true	G	20	319	
Pin	0mil	2100mil	180 Degrees	pin	false	G21	true	G	21	320	
Pin	0mil	2200mil	180 Degrees	pin	false	G22	true	G	22	321	
Pin	0mil	2300mil	180 Degrees	pin	false	G23	true	G	23	322	
Pin	0mil	2400mil	180 Degrees	pin	false	G24	true	G	24	323	
Pin	0mil	2500mil	180 Degrees	pin	false	G25	true	G	25	324	
Pin	0mil	2600mil	180 Degrees	pin	false	G26	true	G	26	325	
Pin	0mil	2700mil	180 Degrees	pin	false	G27	true	G	27	326	
Pin	0mil	2800mil	180 Degrees	pin	false	G28	true	G	28	327	
Pin	0mil	2900mil	180 Degrees	pin	false	G29	true	G	29	328	
Pin	0mil	3000mil	180 Degrees	pin	false	G30	true	G	30	329	
Pin	0mil	3100mil	180 Degrees	pin	false	G31	true	G	31	330	
Pin	0mil	3200mil	180 Degrees	pin	false	G32	true	G	32	331	
Pin	0mil	3300mil	180 Degrees	pin	false	G33	true	G	33	332	
Pin	0mil	3400mil	180 Degrees	pin	false	G34	true	G	34	333	
Pin	0mil	3500mil	180 Degrees	pin	false	G35	true	G	35	334	
Pin	0mil	3600mil	180 Degrees	pin	false	G36	true	G	36	335	
Pin	0mil	3700mil	180 Degrees	pin	false	G37	true	G	37	336	
Pin	0mil	3800mil	180 Degrees	pin	false	G38	true	G	38	337	
Pin	0mil	3900mil	180 Degrees	pin	false	G39	true	G	39	338	
Pin	0mil	4000mil	180 Degrees	pin	false	G40	true	G	40	339	
Pin	0mil	4100mil	180 Degrees	pin	false	G41	true	G	41	340	
Pin	0mil	4200mil	180 Degrees	pin	false	G42	true	G	42	341	
Pin	0mil	4300mil	180 Degrees	pin	false	G43	true	G	43	342	
Pin	0mil	4400mil	180 Degrees	pin	false	G44	true	G	44	343	
Pin	0mil	4500mil	180 Degrees	pin	false	G45	true	G	45	344	
Pin	0mil	4600mil	180 Degrees	pin	false	G46	true	G	46	345	
Pin	0mil	4700mil	180 Degrees	pin	false	G47	true	G	47	346	
Pin	0mil	4800mil	180 Degrees	pin	false	G48	true	G	48	347	
Pin	0mil	4900mil	180 Degrees	pin	false	G49	true	G	49	348	
Pin	0mil	5000mil	180 Degrees	pin	false	G50	true	G	50	349	
Pin	0mil	100mil	180 Degrees	pin	false	H1	true	H	1	350	
Pin	0mil	200mil	180 Degrees	pin	false	H2	true	H	2	351	
Pin	0mil	300mil	180 Degrees	pin	false	H3	true	H	3	352	
Pin	0mil	400mil	180 Degrees	pin	false	H4	true	H	4	353	
Pin	0mil	500mil	180 Degrees	pin	false	H5	true	H	5	354	
Pin	0mil	600mil	180 Degrees	pin	false	H6	true	H	6	355	
Pin	0mil	700mil	180 Degrees	pin	false	H7	true	H	7	356	
Pin	0mil	800mil	180 Degrees	pin	false	H8	true	H	8	357	
Pin	0mil	900mil	180 Degrees	pin	false	H9	true	H	9	358	
Pin	0mil	1000mil	180 Degrees	pin	false	H10	true	H	10	359	
Pin	0mil	1100mil	180 Degrees	pin	false	H11	true	H	11	360	
Pin	0mil	1200mil	180 Degrees	pin	false	H12	true	H	12	361	
Pin	0mil	1300mil	180 Degrees	pin	false	H13	true	H	13	362	
Pin	0mil	1400mil	180 Degrees	pin	false	H14	true	H	14	363	
Pin	0mil	1500mil	180 Degrees	pin	false	H15	true	H	15	364	
Pin	0mil	1600mil	180 Degrees	pin	false	H16	true	H	16	365	
Pin	0mil	1700mil	180 Degrees	pin	false	H17	true	H	17	366	
Pin	0mil	1800mil	180 Degrees	pin	false	H18	true	H	18	367	
Pin	0mil	1900mil	180 Degrees	pin	false	H19	true	H	19	368	
Pin	0mil	2000mil	180 Degrees	pin	false	H20	true	H	20	369	
Pin	0mil	2100mil	180 Degrees	pin	false	H21	true	H	21	370	
Pin	0mil	2200mil	180 Degrees	pin	false	H22	true	H	22	371	
Pin	0mil	2300mil	180 Degrees	pin	false	H23	true	H	23	372	
